#K	4
#Window	150
#Length	100000
#Step	0.01
#Trials	1000
#GC	AvgEnt	MaxEnt
0.0000	0.545364	0.545737
0.0100	0.570813	0.572465
0.0200	0.593912	0.596150
0.0300	0.615255	0.617160
0.0400	0.635228	0.637647
0.0500	0.653764	0.656584
0.0600	0.671026	0.673648
0.0700	0.687154	0.690135
0.0800	0.702475	0.704921
0.0900	0.716993	0.719416
0.1000	0.730551	0.733424
0.1100	0.743223	0.745583
0.1200	0.755266	0.757830
0.1300	0.766734	0.768935
0.1400	0.777583	0.780285
0.1500	0.787858	0.790173
0.1600	0.797473	0.799881
0.1700	0.806749	0.808962
0.1800	0.815478	0.816916
0.1900	0.823804	0.826142
0.2000	0.831666	0.834082
0.2100	0.839279	0.840868
0.2200	0.846182	0.848088
0.2300	0.852869	0.854712
0.2400	0.859181	0.860915
0.2500	0.865260	0.866830
0.2600	0.870958	0.872760
0.2700	0.876243	0.877698
0.2800	0.881102	0.882346
0.2900	0.885916	0.887506
0.3000	0.890358	0.891778
0.3100	0.894492	0.895858
0.3200	0.898374	0.899658
0.3300	0.901939	0.903015
0.3400	0.905318	0.906408
0.3500	0.908458	0.909671
0.3600	0.911329	0.912349
0.3700	0.913908	0.915074
0.3800	0.916392	0.917543
0.3900	0.918587	0.919744
0.4000	0.920560	0.921646
0.4100	0.922359	0.923103
0.4200	0.923908	0.924924
0.4300	0.925313	0.925956
0.4400	0.926503	0.927039
0.4500	0.927492	0.928205
0.4600	0.928279	0.929181
0.4700	0.928916	0.929500
0.4800	0.929357	0.930097
0.4900	0.929649	0.930273
0.5000	0.929760	0.930524
0.5100	0.929645	0.930242
0.5200	0.929353	0.930043
0.5300	0.928929	0.929724
0.5400	0.928324	0.929040
0.5500	0.927512	0.928292
0.5600	0.926471	0.927188
0.5700	0.925311	0.926015
0.5800	0.923942	0.924689
0.5900	0.922355	0.923443
0.6000	0.920564	0.921503
0.6100	0.918554	0.919397
0.6200	0.916354	0.917705
0.6300	0.913931	0.915246
0.6400	0.911349	0.912381
0.6500	0.908398	0.909321
0.6600	0.905359	0.906689
0.6700	0.902000	0.903318
0.6800	0.898340	0.899362
0.6900	0.894504	0.895552
0.7000	0.890357	0.891635
0.7100	0.885884	0.886782
0.7200	0.881160	0.882948
0.7300	0.876103	0.877392
0.7400	0.870834	0.872403
0.7500	0.865216	0.866442
0.7600	0.859229	0.861286
0.7700	0.852921	0.854459
0.7800	0.846261	0.847884
0.7900	0.839149	0.841020
0.8000	0.831698	0.833840
0.8100	0.823842	0.825900
0.8200	0.815567	0.818017
0.8300	0.806808	0.808910
0.8400	0.797488	0.799857
0.8500	0.787929	0.790105
0.8600	0.777491	0.780029
0.8700	0.766801	0.768943
0.8800	0.755280	0.758692
0.8900	0.743191	0.745289
0.9000	0.730386	0.732419
0.9100	0.716897	0.719306
0.9200	0.702470	0.705755
0.9300	0.687325	0.690856
0.9400	0.670940	0.673273
0.9500	0.653680	0.656332
0.9600	0.635124	0.637926
0.9700	0.615327	0.617486
0.9800	0.593949	0.596310
0.9900	0.570778	0.572263
1.0000	0.545379	0.545772
